,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,discountlevel
4,9,675.83,1,0,Rural,1,Web,Discount,0,10.80497848
9,9,675.07,1,1,Rural,1,Phone,Discount,0,8.255580435
14,2,101.64,0,1,Urban,0,Web,Discount,1,20.71190469
17,5,29.99,1,0,Surburban,0,Phone,Discount,0,14.59175686
18,9,112.35,1,0,Rural,0,Web,Discount,0,7.680962854
19,11,219.04,1,1,Surburban,0,Phone,Discount,0,8.844529227
20,5,828.42,1,0,Surburban,1,Multichannel,Discount,0,16.45270816
22,11,182.32,1,0,Surburban,0,Phone,Discount,0,11.24914028
23,2,118.4,1,0,Surburban,0,Web,Discount,1,26.22666999
26,6,139.87,0,1,Rural,1,Web,Discount,0,11.61600347
27,12,115.39,0,1,Surburban,0,Phone,Discount,1,28.7413902
28,6,162.98,0,1,Surburban,0,Web,Discount,0,8.977602514
32,9,334.24,1,0,Urban,0,Web,Discount,0,12.78073693
33,6,128.01,0,1,Urban,0,Web,Discount,0,15.1276859
34,9,29.99,1,0,Surburban,1,Phone,Discount,0,10.70683557
37,1,514.52,0,1,Surburban,1,Web,Discount,0,8.239161682
38,4,766.47,1,1,Urban,1,Multichannel,Discount,0,7.680529242
40,7,520.43,0,1,Surburban,1,Web,Discount,0,5.235996666
41,11,236.97,1,1,Urban,1,Phone,Discount,0,9.412284427
42,3,99.23,1,0,Rural,0,Web,Discount,1,15.72289275
48,1,729.7,1,1,Surburban,1,Web,Discount,0,14.1532786
52,9,185.43,1,0,Urban,0,Web,Discount,0,3.902824636
53,7,29.99,0,1,Urban,1,Phone,Discount,0,11.02332699
54,9,78.62,1,0,Urban,0,Web,Discount,0,7.836741674
59,9,506.83,1,0,Rural,1,Multichannel,Discount,0,12.31363869
61,10,115.4,1,0,Urban,0,Phone,Discount,0,15.19065895
63,6,40.07,1,0,Surburban,1,Phone,Discount,0,4.635878496
69,9,154.15,0,1,Surburban,0,Web,Discount,0,17.0749341
71,2,278.8,1,0,Rural,0,Web,Discount,0,11.11441076
73,2,428.74,1,0,Rural,0,Phone,Discount,0,7.579405201
76,1,640.58,0,1,Urban,1,Phone,Discount,0,3.737604506
79,7,235.14,0,1,Urban,1,Phone,Discount,0,16.73415352
80,2,29.99,0,1,Surburban,0,Phone,Discount,0,5.691267056
81,7,272.32,1,0,Surburban,1,Web,Discount,0,11.96109289
83,5,494.26,1,1,Surburban,1,Phone,Discount,0,11.69815484
84,2,809.07,1,0,Urban,1,Phone,Discount,0,6.480145568
91,6,466.29,1,0,Urban,1,Multichannel,Discount,0,7.381050629
92,3,100.85,1,0,Urban,1,Phone,Discount,0,9.288295639
93,3,1397.57,1,0,Surburban,1,Multichannel,Discount,0,7.013079693
94,2,770.58,0,1,Surburban,1,Phone,Discount,0,13.34024121
96,3,133.51,1,0,Urban,0,Web,Discount,0,13.29817595
97,8,31.52,0,1,Surburban,0,Web,Discount,0,7.804962002
107,11,146.04,0,1,Surburban,1,Phone,Discount,0,4.458808779
112,9,1172.42,1,1,Surburban,1,Web,Discount,0,12.96134971
113,5,244.34,0,1,Urban,1,Web,Discount,0,17.56599305
117,11,35.43,1,0,Urban,1,Phone,Discount,0,8.975605836
120,1,117.27,0,1,Rural,0,Phone,Discount,0,9.259069585
124,1,110.07,0,1,Urban,0,Web,Discount,0,8.380562464
126,2,29.99,0,1,Urban,0,Web,Discount,0,11.08866216
127,11,160.04,1,0,Rural,0,Web,Discount,0,11.28784045
129,11,316.23,1,0,Urban,1,Phone,Discount,0,12.59321342
132,7,185.73,1,0,Surburban,0,Phone,Discount,0,12.28814238
134,1,616.73,0,1,Urban,1,Web,Discount,0,13.67194568
138,8,48.87,1,0,Surburban,1,Web,Discount,0,10.66415027
141,9,228.8,1,0,Surburban,0,Multichannel,Discount,1,25.96304197
144,9,162.59,0,1,Urban,0,Phone,Discount,1,20.7243946
